id,landslide_type,trigger,fatality_count,injuries,location_accuracy(km),landslide_size,distance,population,latitude,longitude
262,15,20,0,0,25,0,14.70039,2828,11.0333,122.2
1881,15,60,0,0,5,0,14.69432,10442,-45.0775,168.4885
1082,5,80,2,0,25,1,14.68538,0,23.1749,120.2974
624,15,10,4,0,15,1,14.68259,0,31.07,103.49
3110,15,60,2,0,10,0,14.68068,47587,6.9315,81.1752
2046,15,10,4,0,15,0,14.66456,8341,32.3733,77.2498
1445,5,10,1,0,25,0,14.65272,2000,-13.2122,-72.3902
318,15,0,2,0,0,0,14.65105,39335,22.894,91.5327
2739,15,10,0,0,0,0,14.62503,2702,7.6213,-72.9303
5548,15,80,0,0,1,0,14.61501,109584,22.6923,121.0212
1862,15,10,0,0,10,0,14.61124,14000,-0.7888,29.8214
2622,15,80,31,0,50,0,14.59782,6168,16.9648,121.2184
4743,15,20,2,0,5,1,14.59203,33200,22.6205,91.6591
5553,5,10,20,0,10,0,14.58717,4020,43.618,40.0443
4929,15,20,19,0,50,0,14.58545,27611,30.4954,78.3881
3083,5,10,2,0,15,0,14.58494,47587,6.9554,80.9282
1599,5,10,0,0,1,-1,14.56419,3944,35.6024,-83.426
1854,5,10,0,0,1,0,14.55886,1067,45.8043,-72.9643
851,15,10,0,0,50,0,14.55771,0,16.5489,107.2327
1343,5,10,0,0,5,-1,14.55128,6441,48.6041,-122.4294
4346,15,10,7,0,10,1,14.54271,2514,42.9744,-124.01
1627,5,10,0,0,15,0,14.50668,31202,-22.6567,-43.0398
1589,15,10,0,0,50,0,14.50432,0,-0.6409,100.4419
6446,5,20,0,0,5,-1,14.50415,5236,38.4316,-106.1009
3034,15,20,0,0,15,0,14.49731,2499,62.185,6.856
826,15,10,6,0,50,0,14.49301,5182,12.12,-85.89
5776,15,80,0,0,30,1,14.4906,2128,8.3886,123.1689
6009,15,60,3,0,1,0,14.473,0,37.0133,70.3589
1615,15,10,0,0,10,0,14.47106,92990,-7.2809,110.0069
1791,15,10,0,0,5,0,14.47008,111701,7.4239,80.6104
2949,25,100,0,0,5,0,14.47008,111701,7.4239,80.6104
1698,15,10,0,0,1,0,14.45301,6023699,-23.0099,-43.288
2752,15,10,1,0,5,0,14.44838,111701,7.4237,80.6104
3036,35,20,0,0,1,0,14.43888,715,58.5909,6.3231
908,25,20,0,0,5,0,14.4377,9277,33.3,-116.9135
2537,15,20,0,0,0,0,14.42796,37681,12.9711,76.2728
3005,15,10,0,0,5,0,14.42496,1777,45.7157,-123.2373
1417,15,10,0,0,5,0,14.41872,92990,-7.2337,109.9349
3338,15,10,0,0,15,0,14.41242,2776168,-8.8961,13.351
3478,5,10,3,0,10,-1,14.40898,1928,43.5411,-111.2683
5569,45,0,3,0,25,0,14.39122,77000,49.1758,-122.1494
3344,5,10,0,0,1,0,14.38849,3142,46.5951,-116.1712
2432,15,10,0,0,50,0,14.36782,1495,31.4135,77.895
4291,15,10,3,0,5,-1,14.35006,2436,41.88,-124.1308
4599,15,80,0,0,25,0,14.34429,1213,44.1009,-71.6322
850,15,20,3,0,10,0,14.33902,0,16.2,108.133
6109,5,20,15,0,5,-1,14.33305,1325,43.7638,-91.9607
3018,5,10,3,0,1,0,14.32586,145987,43.6361,-116.0287
592,15,20,0,0,25,0,14.31619,8341,32.3712,77.2466
5269,15,60,0,0,0,0,14.31476,29499,25.8376,94.5234
2215,15,10,1,0,25,0,14.30557,8341,32.371,77.2468
3611,15,10,0,0,5,0,14.28688,8341,32.3709,77.2466
3722,15,20,0,0,0,0,14.28266,0,10.3606,-67.3097
4480,15,10,0,0,1,0,14.26241,37543,10.0011,76.7416
767,15,20,0,0,10,0,14.22899,0,28.089,84.4125
2640,5,10,0,0,25,0,14.17844,4374,-17.0661,145.6937
2870,15,10,1,0,1,0,14.17422,3600,40.7659,-123.1034
6248,15,70,0,0,10,0,14.17241,2644,53.0532,-8.6064
3259,45,10,0,0,5,-1,14.16332,21723,34.0884,-119.0592
4402,5,10,0,0,10,1,14.16321,86406,23.8396,120.9876
4995,15,20,0,0,1,0,14.15117,13500,19.3074,101.8343
5324,15,10,0,0,1,0,14.15117,13500,19.3074,101.8343
2496,15,10,8,0,10,0,14.14984,7871900,25.1701,121.5722
6552,15,0,0,3,5,0,13.82899,1495,31.5593,77.9277
6407,55,20,0,0,10,-1,14.14132,21723,34.0869,-119.0604
1493,15,10,3,0,50,0,14.12512,601600,33.8147,72.9394
5680,5,10,0,0,1,0,14.11991,1090,37.4633,-81.8206
4505,15,10,3,0,5,0,14.11697,22903,27.404,87.065
3575,15,10,0,0,5,-1,14.1126,19151,4.6967,114.7247
2751,15,10,0,0,5,0,14.07693,111701,7.4227,80.6309
2394,15,10,0,0,5,-1,14.07246,1586,52.9892,-6.4173
4,15,20,0,0,10,0,14.05144,11555,-22.0452,-42.6734
5538,15,10,0,0,1,0,14.04274,1252,17.225,-98.5
4610,15,10,0,0,5,0,14.01872,5760,23.7705,92.5217
2872,5,10,0,0,10,-1,14.00317,3249,34.0712,-119.0125
1580,15,10,0,0,5,0,13.98369,77758,-6.7234,107.1756
2261,15,10,0,0,10,0,13.98232,43000,26.9435,88.4445
6339,15,10,0,0,5,0,13.97695,28197,33.5405,74.3723
4923,5,10,9,0,5,0,13.94531,7485,-41.0079,173.0089
5435,5,10,0,0,15,0,13.94274,2129,39.4402,-111.0337
1963,15,10,0,0,10,0,13.93339,43000,26.944,88.4441
5518,5,10,1,0,1,0,13.92607,485,43.7553,-115.975
5519,5,10,2,0,1,0,13.92607,485,43.7553,-115.975
6233,15,30,0,0,1,1,13.92246,3394,41.3971,-122.1911
2079,5,10,0,0,10,0,13.91871,70339,33.4942,130.3342
2134,15,10,0,0,25,0,13.91342,13121,16.9473,73.4551
2145,15,10,3,0,15,0,13.91342,13121,16.9473,73.4551
932,5,20,43,0,10,-1,13.9106,3249,34.0814,-119.0308
6494,25,20,0,0,25,-1,13.90778,3249,34.0615,-118.9774
3937,15,10,0,0,25,0,13.90595,23296,28.1901,83.6972
4833,15,20,0,0,5,0,13.90279,4721,6.8196,80.8448
3577,15,10,0,0,50,0,13.89592,2000,30.5319,79.3541
5354,15,80,0,0,10,0,13.89297,20636,42.0252,42.1061
6408,5,10,0,0,5,0,13.86433,3249,34.0666,-118.9962
711,5,20,0,0,5,-1,13.86243,14769,14.229,74.8122
5165,15,10,0,0,5,1,13.86233,21867,27.9687,83.9066
4717,15,20,6,0,10,0,13.86023,2138,35.5898,-83.373
475,15,20,8,2,25,0,12.67187,0,27.1936,99.4527
6210,5,100,5,0,50,0,13.82597,16586,7.8726,99.7283
4926,15,20,2,0,25,0,13.82422,27544,30.6738,77.3544
5099,15,20,0,0,25,0,13.82422,27544,30.6738,77.3544
5274,15,20,0,0,15,0,13.81486,29499,26.0838,94.564
91,5,10,9,0,0,0,13.80524,0,23.641,108.281
4309,35,0,0,0,25,0,13.79568,852,27.256,90.5257
4957,15,20,0,0,5,0,13.78928,5427,28.2265,82.553
6792,5,90,0,0,5,0,13.78623,39218,25.1472,91.7483
6554,15,60,1,0,5,0,13.77594,23296,28.2322,83.7228
4721,5,20,0,0,5,0,13.77073,2355,36.5539,-83.9789
2731,15,10,0,0,0,0,13.76047,0,15.608,107.9887
4374,15,10,0,0,5,1,13.759,15067,10.7692,-61.4078
5127,15,20,0,0,5,0,13.74294,5858,40.3364,-105.6744
3591,5,10,0,0,50,0,13.7408,1167,60.548,6.0575
4955,15,20,0,0,5,0,13.72992,21867,27.8595,83.7711
3136,25,10,0,0,10,-1,13.70734,8879,34.2896,-117.4787
1148,15,10,4,0,0,0,13.70623,44359,-26.9286,-49.3653
1727,15,10,1,0,1,0,12.6705,6023699,-22.945,-43.3223
1772,15,10,0,0,1,-1,13.70425,2369,36.9604,-119.4511
5744,15,0,0,0,5,0,13.70206,1424,35.3991,-83.5909
2813,15,10,0,0,1,0,13.67355,32272,48.8399,-123.4997
2334,15,10,0,0,5,0,13.67297,21867,28.0401,83.8901
3190,5,10,0,0,5,-1,13.6612,1836,41.5474,-76.1099
2395,15,10,5,0,5,0,13.66022,1756,53.0055,-6.4318
6439,15,20,0,0,25,0,13.65544,92990,-7.3196,109.7856
2653,15,10,0,0,25,0,13.64517,0,-0.3203,30.4192
